material_id	risk_factor	evidence_strength	threshold_summary	mechanism_summary	care_action_summary	inspection_trigger_summary	key_features
coated_cowhide	humidity	A	45-55% RH stable; >65% RH high humidity candidate	Moisture supports mould, hydrolysis, staining, blistering, coating change	Blot/wipe water immediately; store dry/temperate; avoid over-drying sachets	Mould, odour, blistering, staining, tacky coating, repeated >65% RH	rh_hours_gt_65_7d; rh_hours_gt_65_30d; wet_event_reported; ventilation_low
coated_cowhide	temperature_heat	A	18-20 C recommended; direct heat source event	Local heat desiccates leather, shifts RH, may denature protein	Move away from radiator/window/car interior; dry at room temperature	Warping, stiffness, tacky finish, cracking, colour alteration	temp_hours_above_local_comfort_7d; direct_heat_event_reported; sun_window_storage_reported
coated_cowhide	dryness	A	<30% RH dryness candidate	Moisture loss increases embrittlement, cracking, handling vulnerability	Avoid heaters, dry airflow, unnecessary anti-humidity sachets	New cracking, stiffness, powdery surface, shape distortion	rh_hours_lt_30_7d; rh_hours_lt_30_30d; stiffness_reported
coated_cowhide	uv_light	A	150 lux unpainted; 50 lux dyed/light-sensitive; UV <=75 uW/lm	Light damage is cumulative; fading and photochemical weakening	Keep out of direct sun; store covered; limit cumulative exposure	Fading, yellowing, uneven colour, cracking on exposed panels	direct_sun_exposure_hours_7d; lux_hours_estimate_30d; uv_exposure_proxy
coated_cowhide	physical_shock_abrasion	B	No numeric threshold; abrasive contact/overload event only	Abrasion wears grain/coating; overload distorts silhouette and strains attachments	Avoid rough surfaces/floor; do not overpack; wipe dust after use	Deep corner wear, coating loss, loose hardware, deformation	shock_event_count; corner_abrasion_reported; overload_reported
coated_cowhide	continuous_usage_rest	B	No numeric rest-day threshold	Frequent use compounds abrasion, oil/dirt, handle strain, shape fatigue	Rotate periodically; rest with support in dust cover	Shape collapse, handle deformation, odour/soil, recurring corner wear	usage_days_7d; usage_days_30d; rest_days_30d
natural_leather	humidity	A	45-55% RH stable; >65% RH high humidity candidate	Absorbs moisture; stains, darkens, stiffens, embrittles, hydrolyzes	Protect from humidity/rain; blot immediately; avoid oils/home remedies	Water stains, mould, darkening plus stiffness, powdery surface	rh_hours_gt_65_7d; wet_event_reported; warm_moist_exposure_hours
natural_leather	temperature_heat	A	18-20 C recommended; direct heat source event	Heat accelerates oxidation/hydrolysis; warm moist exposure harms vegetable-tanned leather	Avoid heat/car interiors; dry naturally at room temperature	Rapid colour change, stiffness, cracks, surface weakness	temp_hours_above_local_comfort_7d; warm_moist_exposure_hours
natural_leather	dryness	A	<30% RH dryness candidate	Bound moisture loss causes embrittlement, cracking, loss of flexibility	Avoid desiccants, heaters, dry vents	Cracking, hardening, red/powdery surface, flaking	rh_hours_lt_30_7d; rh_hours_lt_30_30d; dry_handling_event_reported
natural_leather	uv_light	A	150 lux unpainted; 50 lux dyed/light-sensitive; UV <=75 uW/lm	Photochemical degradation weakens collagen; fading/yellowing/uneven patina	Avoid sunlight; store in cover/box away from light	Uneven patina, yellowing/fading, exposed-side embrittlement	direct_sun_exposure_hours_7d; lux_hours_estimate_30d; light_color_material
natural_leather	physical_shock_abrasion	B	No numeric threshold; abrasive contact event only	Unprotected surface scratches and absorbs oil/soil; strain damages trim	Avoid abrasive surfaces, cosmetics/oils/sanitizer; do not overpack	Deep scratches, oil stains, torn handle/trim, deformation	scratch_reported; oil_contact_reported; abrasive_contact_event
natural_leather	continuous_usage_rest	B	No numeric rest-day threshold	Uninterrupted use raises oil, abrasion, humidity, shape and patina stress	Rotate periodically; rest covered with shape support	Uneven patina, handle staining, recurring wet/soil exposure	usage_days_7d; usage_days_30d; rest_days_30d
suede	humidity	A	Leather baseline 45-55% RH; >65% RH high humidity candidate	Moisture stains suede, alters nap, supports mould, raises colour transfer risk	Avoid rain; blot and air dry; use dry brush/eraser; escalate stubborn stains	Water marks, matted nap, mould, dye transfer, colour change	wet_event_reported; rh_hours_gt_65_7d; nap_matted_reported
suede	temperature_heat	A	Leather baseline 18-20 C; direct heat source event	Heat dries fibers, alters nap, worsens fading and water marks	Avoid direct heat/sun/car interiors; dry naturally	Hardened/matted nap, faded patches, stiffness, shrinkage	direct_heat_event_reported; temp_hours_above_local_comfort_7d
suede	dryness	A	Leather baseline <30% RH	Low RH reduces flexibility and increases abrasion/cracking vulnerability	Avoid very dry storage/heaters; brush gently when dry/stiff	Cracking, stiffness, shedding/powdering, loss of nap resilience	rh_hours_lt_30_7d; stiffness_reported
suede	uv_light	A	50 lux conservative for dyed suede; UV <=75 uW/lm	Light fades dyed suede and weakens leather cumulatively	Store in dust bag away from light; avoid window exposure	Uneven fading, colour transfer, dull exposed nap	direct_sun_exposure_hours_7d; lux_hours_estimate_30d; dyed_suede_flag
suede	physical_shock_abrasion	B	No numeric threshold; abrasive contact event only	Friction crushes/polishes nap and causes high-wear fading	Avoid abrasive surfaces; brush gently; avoid transfer-prone fabrics	Nap loss, bald spots, persistent stains, heavy colour transfer	abrasive_contact_event; nap_loss_reported; color_transfer_reported
suede	continuous_usage_rest	B	No numeric rest-day threshold	Continuous wear compounds friction, nap compression, soil, moisture, transfer risk	Rest in dust bag; brush lightly when dry; rotate away from wet conditions	Persistent nap matting, odour, staining, dye transfer	usage_days_7d; usage_days_30d; rest_days_30d
canvas	humidity	A	37-53% RH textile target; >70% RH damp; >80% RH stagnant cotton/linen mould risk	Canvas absorbs moisture; high RH promotes mould, shrinkage/swelling, staining	Avoid humidity/rain; dry immediately; ventilated storage; clean per brand method	Mould/odour, water staining, tacky coating/print, warping	rh_hours_gt_70_7d; rh_hours_gt_80_stagnant_7d; wet_event_reported
canvas	temperature_heat	A	18.9-23.3 C textile target; direct heat source event	Heat accelerates textile deterioration and may alter coated/printed surfaces	Keep away from radiators, cars, bright heat lights; dry with airflow at room temp	Brittleness, discoloration, coating tackiness, print distortion	temp_hours_above_23_3_7d; direct_heat_event_reported
canvas	dryness	A	<37% RH conservative textile lower-bound candidate; stricter <30% if leather trim	Low humidity may embrittle natural fibers and stress leather trims	Avoid heat/dry sunlight; store breathable with support	Brittle fabric, cracking coated surface, leather trim cracking	rh_hours_lt_37_30d; rh_hours_lt_30_7d_if_leather_trim
